id,name,country,iso,latitude,longitude,image
1392685764,Tokyo,Japan,JPN,35.6897,139.6922,https://tse1.mm.bing.net/th?id=OIP.xZiLk7RRtUqNegjIrSW1zAHaE8&pid=Api&P=0&w=300&h=300
1360771077,Jakarta,Indonesia,IDN,-6.175,106.8275,https://tse4.mm.bing.net/th?id=OIP.VrtxGaBowj7Jiqtzk37RSgHaE7&pid=Api&P=0&w=300&h=300
1356872604,Delhi,India,IND,28.61,77.23,https://tse2.mm.bing.net/th?id=OIP.cl__XpAEinTo54YGGCMjXQHaE7&pid=Api&P=0&w=300&h=300
1156237133,Guangzhou,China,CHN,23.13,113.26,https://tse2.mm.bing.net/th?id=OIP.CN4jGbPiyIUbgzYolMm1tQHaE8&pid=Api&P=0&w=300&h=300
1356226629,Mumbai,India,IND,19.0761,72.8775,https://tse2.mm.bing.net/th?id=OIP.j5vS19t17pn_AJF-GturmQHaE8&pid=Api&P=0&w=300&h=300
1608618140,Manila,Philippines,PHL,14.5958,120.9772,https://tse3.mm.bing.net/th?id=OIP.p-5oRXKvWnV3UV6wZ5dNrQHaE8&pid=Api&P=0&w=300&h=300
1156073548,Shanghai,China,CHN,31.2286,121.4747,https://tse2.mm.bing.net/th?id=OIP.JFksmscw9tW_9HNfMtBs4QHaE8&pid=Api&P=0&w=300&h=300
1076532519,Sao Paulo,Brazil,BRA,-23.55,-46.6333,https://tse1.mm.bing.net/th?id=OIP.b28XqO1ENQK44ZaIzUGHNAHaFJ&pid=Api&P=0&w=300&h=300
1410836482,Seoul,South Korea,KOR,37.56,126.99,https://tse3.mm.bing.net/th?id=OIF.y6HXuq1dyUoRgMDGvrykmA&pid=Api&P=0&w=300&h=300
1484247881,Mexico City,Mexico,MEX,19.4333,-99.1333,https://tse4.mm.bing.net/th?id=OIP.aB5FoWkofBQj_-gZYnwjZgHaE8&pid=Api&P=0&w=300&h=300
1818253931,Cairo,Egypt,EGY,30.0444,31.2358,https://tse3.mm.bing.net/th?id=OIP.DSPmfqu7bA9qnl-nrZUKMQHaFH&pid=Api&P=0&w=300&h=300
1840034016,New York,United States,USA,40.6943,-73.9249,https://tse1.mm.bing.net/th?id=OIP.V__8ZDlZaASLjKHns7co0AHaEK&pid=Api&P=0&w=300&h=300
1050529279,Dhaka,Bangladesh,BGD,23.7639,90.3889,https://tse1.mm.bing.net/th?id=OIP.-T1TyJ6JSDc7zS7SojUZngHaE8&pid=Api&P=0&w=300&h=300
1156228865,Beijing,China,CHN,39.9067,116.3975,https://tse1.mm.bing.net/th?id=OIP.Gn1roMNfwWTjegsvrRKjtQHaFH&pid=Api&P=0&w=300&h=300
1356060520,Kolkata,India,IND,22.5675,88.37,https://tse3.mm.bing.net/th?id=OIP.NDYmreDed_84stfB3hJlDgHaE8&pid=Api&P=0&w=300&h=300
1764068610,Bangkok,Thailand,THA,13.7525,100.4942,https://tse3.mm.bing.net/th?id=OIP.nv_oVLZEx19TcjAe96uXQwHaEn&pid=Api&P=0&w=300&h=300
1156158707,Shenzhen,China,CHN,22.5415,114.0596,https://tse4.mm.bing.net/th?id=OIP.ZPEFTK7cGVNwZh93Up9_GQAAAA&pid=Api&P=0&w=300&h=300
1643318494,Moscow,Russia,RUS,55.7558,37.6172,https://tse1.mm.bing.net/th?id=OIP.pVOpYTDKF3XriVgZ1N2oIQHaFG&pid=Api&P=0&w=300&h=300
1032717330,Buenos Aires,Argentina,ARG,-34.6033,-58.3817,https://tse3.mm.bing.net/th?id=OIP.Q1iH1wqSNKAyENTx6X4HbAHaIz&pid=Api&P=0&w=300&h=300
1566593751,Lagos,Nigeria,NGA,6.455,3.3841,https://tse4.mm.bing.net/th?id=OIP.qCAT5wIgGTfOhdG-OzuVgAHaFS&pid=Api&P=0&w=300&h=300
1792756324,Istanbul,Turkey,TUR,41.0136,28.955,https://tse4.mm.bing.net/th?id=OIP.CR1MzcfFN3WyR-WnrL8ZRwHaE3&pid=Api&P=0&w=300&h=300
